unique_id,original_owner_id
DD-1761378779.199818-8734,1354044474967199766
WassoiGuy-1761378779.199818-8134,994823657996177458
Einherjar-1761378779.199818-3568,994823657996177458
Rifle-1761378779.199818-6106,897476441749471262
Synth-1761378779.199818-2391,994823657996177458
Doge-1761378779.199818-2749,994823657996177458
BB-1761378779.199818-5158,897476441749471262
Alm-1761378779.199818-5277,897476441749471262
BB-1761378779.199818-7863,994823657996177458
Nethy-1761378779.199818-9979,994823657996177458
Rob-1761378779.199818-9513,994823657996177458
RPG-1761378779.199818-4021,994823657996177458
DD-1761378779.199818-1406,897476441749471262
DD-1761378779.199818-3255,897476441749471262
Amiel-1761378779.199818-7345,994823657996177458
Jurger-1761378779.199818-4679,994823657996177458
nygiantfan-1761378779.199818-6488,748888893650239578
Kalani-1761378779.199818-2473,994823657996177458
Submarine-1761378779.199818-6890,994823657996177458
RPG-1761378779.199818-1278,748888893650239578
DD-1761378779.199818-5236,1089419461934727199
Synth-1761378779.199818-2007,1024266899745406986
Synth-1761378779.199818-9407,1024266899745406986
Quadratine-1761378779.199818-9908,1158361006356041740
Quadratine-1761378779.199818-8166,730642159731998774
Yiobangua-1761378779.199818-6145,994823657996177458
Jado-1761378779.199818-3001,730642159731998774
Nethy-1761378779.199818-8853,994823657996177458
Mimic-1761378779.199818-3981,994823657996177458
Kairo-1761378779.199818-4366,994823657996177458
Sloth-1761378779.199818-5582,994823657996177458
Submarine-1761378779.199818-5294,748888893650239578
LB-1761378779.199818-9491,838304838298501130
Pixels-1761378779.199818-7872,898591162233925682
Nethy-1761378779.199818-1764,1207314080377868322
Siber-1761378779.199818-5717,748888893650239578
Amiel-1761378779.199818-3824,898591162233925682
Siber-1761378779.199818-1658,898591162233925682
CA-1761378779.199818-1758,898591162233925682
CA-1761378779.199818-5284,1207314080377868322
nygiantfan-1761378779.199818-4137,897476441749471262
Korian-1761378779.199818-4860,858594136264933378
Island-1761378779.199818-6947,897476441749471262
CL-1761378779.199818-2473,897476441749471262
Kairo-1761378779.199818-3805,897476441749471262
Nethy-1761378779.199818-4223,1207314080377868322
Kalani-1761378779.199818-2783,1207314080377868322
Kalani-1761378779.199818-5933,1207314080377868322
DD-1761378779.199818-6817,1207314080377868322
LB-1761378779.199818-9967,899832840487841812
Amiel-1761378779.199818-9310,940613177178198046
Parachute-1761378779.199818-2414,858594136264933378
Jado-1761378779.199818-7082,994823657996177458
TB-1761378779.199818-9007,897476441749471262
Quadratine-1761378779.199818-3600,940613177178198046
SecuritySeb-1761378779.199818-2446,1207314080377868322
Toast-1761378779.199818-1523,898591162233925682
